variant_brand,canonical_brand,pattern,variant_count,canonical_count,confidence,action,notes
bio company,bio,prefix,6,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio des alpes,bio,prefix,6,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio natur plus,bio,prefix,6,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio zentrale,bio,prefix,6,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bob's red mill natural foods inc.,bob's red mill,prefix,6,211,high,confirm,Non-executable guardrail; exact reviewed evidence required.
boulder canyon authentic foods,boulder canyon,prefix,6,75,high,confirm,Non-executable guardrail; exact reviewed evidence required.
cabot creamery cooperative,cabot,prefix,6,74,high,confirm,Non-executable guardrail; exact reviewed evidence required.
cadbury dairy milk,cadbury,prefix,6,700,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
co-op bakery,co-op,prefix,6,106,high,confirm,Non-executable guardrail; exact reviewed evidence required.
divine food,divine,prefix,6,61,high,confirm,Non-executable guardrail; exact reviewed evidence required.
great value organic,great value,prefix,6,1431,high,confirm,Non-executable guardrail; exact reviewed evidence required.
hostess brands llc,hostess,prefix,6,176,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kinder surprise,kinder,prefix,6,310,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kings brau,kings,prefix,6,105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
krema products inc.,krema,prefix,6,58,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lotus biscoff,lotus,prefix,6,233,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mars wrigley,mars,prefix,6,308,high,confirm,Non-executable guardrail; exact reviewed evidence required.
maud borup inc,maud borup,prefix,6,82,high,confirm,Non-executable guardrail; exact reviewed evidence required.
monoprix ptit prix,Monoprix P'tit Prix,reviewed_groupe_casino_private_label,20,,high,confirm,reviewed Groupe Casino France decision; company_decision=Groupe Casino; source=groupe_casino_private_label_review_20260831
muller x myprotein,muller,prefix,6,170,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle norge,nestle,prefix,6,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
pepsico inc.,pepsico,prefix,6,56,high,confirm,Non-executable guardrail; exact reviewed evidence required.
planters deluxe,planters,prefix,6,120,high,confirm,Non-executable guardrail; exact reviewed evidence required.
post consumer brands llc,post,prefix,6,164,high,confirm,Non-executable guardrail; exact reviewed evidence required.
quest nutrition llc,quest,prefix,6,123,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal thai,royal,prefix,6,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sainsbury's basics,sainsbury's,prefix,6,1036,high,confirm,Non-executable guardrail; exact reviewed evidence required.
shasta beverages,shasta,prefix,6,51,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply roasted,simply,prefix,6,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
starbucks coffee company,starbucks,prefix,6,816,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tesco free from,Tesco Free From,reviewed_tesco_private_label,6,,high,confirm,reviewed Tesco UK/IE decision; company_decision=Tesco; source=tesco_private_label_review_uk_ie_20260901
wawa incorporated,wawa,prefix,6,919,high,confirm,Non-executable guardrail; exact reviewed evidence required.
wonderful pistachios & almonds llc,wonderful,prefix,6,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
candyrific llc,candyrific,geo_suffix,6,25,high,,suffix removed: 'llc'
cavalier nv,cavalier,geo_suffix,6,7,high,,suffix removed: 'nv'
chocolate chocolate chocolate company,chocolate chocolate chocolate,geo_suffix,6,7,high,,suffix removed: 'company'
go macro llc,go macro,geo_suffix,6,17,high,,suffix removed: 'llc'
jo's candies llc,jo's candies,geo_suffix,6,30,high,,suffix removed: 'llc'
lesserevil llc,lesserevil,geo_suffix,6,11,high,,suffix removed: 'llc'
saint-jean,saint jean,punctuation,5,57,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tipton-grove,tipton grove,punctuation,5,14,high,confirm,Non-executable guardrail; exact reviewed evidence required.
rivoire-jacquemin,rivoire jacquemin,punctuation,5,10,high,confirm,Non-executable guardrail; exact reviewed evidence required.
funny frisch,funny-frisch,punctuation,5,8,high,confirm,Non-executable guardrail; exact reviewed evidence required.
arizona chile pepper co.,arizona,prefix,5,284,high,confirm,Non-executable guardrail; exact reviewed evidence required.
arla foods amba,arla,prefix,5,159,high,confirm,Non-executable guardrail; exact reviewed evidence required.
aunt millie's bakeries,aunt millie's,prefix,5,115,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio agricola,bio,prefix,5,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio day,bio,prefix,5,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio natur'inov,bio,prefix,5,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio pour moi,bio,prefix,5,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio roc,bio,prefix,5,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio wise,bio,prefix,5,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour veggie,carrefour,prefix,5,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
clif kid,clif,prefix,5,209,high,confirm,Non-executable guardrail; exact reviewed evidence required.
diamond g,diamond,prefix,5,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
dierbergs kitchen,dierbergs,prefix,5,105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
disney princess,disney,prefix,5,129,high,confirm,Non-executable guardrail; exact reviewed evidence required.
fage usa dairy industry inc.,fage,prefix,5,124,high,confirm,Non-executable guardrail; exact reviewed evidence required.
fisher snack,fisher,prefix,5,139,high,confirm,Non-executable guardrail; exact reviewed evidence required.
fresh & easy neighborhood market inc.,fresh & easy,prefix,5,117,high,confirm,Non-executable guardrail; exact reviewed evidence required.
gatorade zero,gatorade,prefix,5,269,high,confirm,Non-executable guardrail; exact reviewed evidence required.
germinal bio,germinal,prefix,5,55,high,confirm,Non-executable guardrail; exact reviewed evidence required.
giant snacks inc.,giant,prefix,5,362,high,confirm,Non-executable guardrail; exact reviewed evidence required.
h-e-b bakery,h-e-b,prefix,5,482,high,confirm,Non-executable guardrail; exact reviewed evidence required.
karma drinks,karma,prefix,5,59,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kashi solana beach california,kashi,prefix,5,190,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kettle heroes,kettle,prefix,5,219,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m&s food collection,m&s,prefix,5,469,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m&s foods,m&s,prefix,5,469,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mama lycha,mama,prefix,5,61,high,confirm,Non-executable guardrail; exact reviewed evidence required.
meijer organics,meijer,prefix,5,1401,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mentos perfetti van melle,mentos,prefix,5,331,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mondelez norge,mondelez,prefix,5,236,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
morrisons market street,morrisons,prefix,5,821,high,confirm,Non-executable guardrail; exact reviewed evidence required.
muller light,muller,prefix,5,170,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nature valley protein,nature valley,prefix,5,359,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nescafe gold,nescafe,prefix,5,305,high,confirm,Non-executable guardrail; exact reviewed evidence required.
oikos triple zero,oikos,prefix,5,77,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
prime hydration,prime,prefix,5,86,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sainsbury's freefrom,sainsbury's,prefix,5,1036,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply 7,simply,prefix,5,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
smarties candy company,smarties,prefix,5,90,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tillamook country smoker,tillamook,prefix,5,211,high,confirm,Non-executable guardrail; exact reviewed evidence required.
wegmans food mkts,wegmans,prefix,5,943,high,confirm,Non-executable guardrail; exact reviewed evidence required.
wrigley's extra,wrigley's,prefix,5,121,high,confirm,Non-executable guardrail; exact reviewed evidence required.
yoplait whips!,yoplait,prefix,5,826,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bellwether farms llc,bellwether farms,geo_suffix,5,7,high,,suffix removed: 'llc'
brownie brittle llc,brownie brittle,geo_suffix,5,6,high,,suffix removed: 'llc'
friendship dairies llc,friendship dairies,geo_suffix,5,8,high,,suffix removed: 'llc'
la panzanella llc,la panzanella,geo_suffix,5,17,high,,suffix removed: 'llc'
laughing giraffe organics llc,laughing giraffe organics,geo_suffix,5,5,high,,suffix removed: 'llc'
wildway llc,wildway,geo_suffix,5,7,high,,suffix removed: 'llc'
st-hubert,st hubert,punctuation,4,40,high,confirm,Non-executable guardrail; exact reviewed evidence required.
the coca cola company,the coca-cola company,punctuation,4,19,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
aroy d,aroy-d,punctuation,4,16,high,confirm,Non-executable guardrail; exact reviewed evidence required.
alb-gold,alb gold,punctuation,4,14,high,confirm,Non-executable guardrail; exact reviewed evidence required.
abbaye de sept fons,abbaye de sept-fons,punctuation,4,13,high,confirm,Non-executable guardrail; exact reviewed evidence required.
les fromagers de sainte colombe,les fromagers de sainte-colombe,punctuation,4,11,high,confirm,Non-executable guardrail; exact reviewed evidence required.
booja booja,booja-booja,punctuation,4,6,high,confirm,Non-executable guardrail; exact reviewed evidence required.
irn-bru,irn bru,punctuation,4,6,high,confirm,Non-executable guardrail; exact reviewed evidence required.
koh kae,koh-kae,punctuation,4,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nat-ali,nat ali,punctuation,4,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
want want,want-want,punctuation,4,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
365 delhaize,365,prefix,4,81,high,confirm,Non-executable guardrail; exact reviewed evidence required.
365 essential,365,prefix,4,81,high,confirm,Non-executable guardrail; exact reviewed evidence required.
aldi everyday essentials,aldi,prefix,4,1305,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
aldi snackrite,aldi,prefix,4,1305,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
barilla norge as,barilla,prefix,4,502,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bel & bio,bel,prefix,4,153,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bel gioioso,bel,prefix,4,153,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio cesta,bio,prefix,4,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio frutti,bio,prefix,4,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio les coeurs,bio,prefix,4,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
